
 Lista de Imóveis da Caixa;;Data de geração:;17/10/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8787707542735 ;RJ ;ABARRACAMENTO ;PACIENCIA ;AV. AV BRASIL, N. 48677, Apto 108, BL. 01 ;82.409,54;148.700,00;44.58;Apartamento, 0.00 de área total, 43.53 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707542735
 1555532580855 ;RJ ;ANGRA DOS REIS ;PARQUE BELEM (CUNHAMBEBE) ;RUA ANJOS DO SENHOR, Apto 08, QD VIII LT 266 ;103.360,00;180.000,00;42.58;Apartamento, 0.00 de área total, 40.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555532580855
 1444413830678 ;RJ ;ANGRA DOS REIS ;PARQUE MAMBUCABA MAM ;RUA TRES DE MAIO, N. SN, QD 60 LT 21 ;602.282,59;816.322,30;26.23;Casa, 0.00 de área total, 356.53 de área privativa, 1200.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444413830678
 8444420546112 ;RJ ;ARARUAMA ;ARARUAMA ;RUA DO CONTORNO, N. 276, QD 38 LT 14 CS102 ;53.859,00;130.000,00;58.57;Casa, 0.00 de área total, 63.19 de área privativa, 150.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420546112
 8444411394216 ;RJ ;ARARUAMA ;ITATIQUARA ;RUA WALDOMIRO MAXIMO CARVALHO, N. 106, QD 34, LT 510, CS 04 ;69.704,10;133.000,00;47.60;Casa, 0.00 de área total, 52.01 de área privativa, 457.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444411394216
 8444412876427 ;RJ ;ARARUAMA ;CENTRO (IGUABINHA) ;RUA MADUREIRA, N. 845, CASA 102 ;101.846,48;190.000,00;46.40;Casa, 0.00 de área total, 68.00 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444412876427
 8444400450802 ;RJ ;ARARUAMA ;PARACATU MORRO GRAND ;RUA XI, N. 11, CASA ;110.285,80;199.000,00;44.58;Casa, 261.53 de área total, 261.53 de área privativa, 412.38 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444400450802
 8444415562032 ;RJ ;ARARUAMA ;CENTRO SAO VICENTE ;ESTRADA RJ  138, N. 180, UNIDADE 36 ;74.262,80;134.000,00;44.58;Casa, 58.46 de área total, 58.46 de área privativa, 163.23 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415562032
 8444420123793 ;RJ ;ARARUAMA ;NOVO HORIZONTE ;RUA DO CONTORNO, N. 276, CASA 103 ;72.239,97;130.350,00;44.58;Casa, 0.00 de área total, 63.19 de área privativa, 750.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420123793
 8444401565816 ;RJ ;ARARUAMA ;BOA PERNA ;RUA R DOMINGOS MOIELLA, N. 44, CS.203,, N. 44, LT.30, QD.A, LOT. PARQUE SOL NASCENTE ;44.336,00;80.000,00;44.58;Casa, 0.00 de área total, 29.19 de área privativa, 360.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444401565816
 8444420614240 ;RJ ;ARARUAMA ;PARATY ;RUA JURUA, N. 100, CASA 8 ;96.430,80;174.000,00;44.58;Casa, 0.00 de área total, 58.09 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420614240
 8555509940911 ;RJ ;ARARUAMA ;FAZENDINHA ;ESTRADA DE ARARUAMA, N. 1209, CS 10 ;128.131,04;231.200,00;44.58;Casa, 0.00 de área total, 59.74 de área privativa, 120.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555509940911
 1555534288140 ;RJ ;ARARUAMA ;BANANEIRAS IGUABINHA ;RUA VERONICA ANTUNES, N. 57 ;491.529,00;885.000,00;44.46;Casa, 0.00 de área total, 296.79 de área privativa, 450.00 de área do terreno,  5 qto(s), WC, WC Emp, 1 sala(s), 1 lavabo(s), DCE, cozinha, 3 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555534288140
 1555520317895 ;RJ ;ARARUAMA ;CENTRO (IGUABINHA) ;RUA INDAIA, N. 295, LT 40 QD 29 ;147.181,00;265.000,00;44.46;Casa, 0.00 de área total, 231.59 de área privativa, 600.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555520317895
 8444400720001 ;RJ ;ARARUAMA ;PARATY ;R ITACOLOMI, N. 280, CS ;102.252,18;180.434,41;43.34;Casa, 0.00 de área total, 67.40 de área privativa, 450.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444400720001
 8444404425063 ;RJ ;ARARUAMA ;SAO VICENTE DE PAULA ;ESTRADA DE SAO VICENTE RUA INTERNA, N. SN, UNIDADE 30 ;76.504,50;135.000,00;43.33;Casa, 0.00 de área total, 58.46 de área privativa, 190.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444404425063
 8555505455512 ;RJ ;ARARUAMA ;NOSSA SENHORA DE NAZARETH ;RUA MEN DE SA, N. 463, CASA 02 LT 32 QD 11 ;150.175,50;265.000,00;43.33;Casa, 97.69 de área total, 97.69 de área privativa, 265.87 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555505455512
 8555512635350 ;RJ ;ARARUAMA ;RIO DO LIMAO ;RUA GOMES CARNEIRO, N. 532, CASA 02 ;75.371,10;133.000,00;43.33;Casa, 0.00 de área total, 69.78 de área privativa, 176.40 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555512635350
 8444409862615 ;RJ ;ARARUAMA ;LAGOINHA ;RUA AMETISTA, N. 15, RUA G ;98.605,80;174.000,00;43.33;Casa, 0.00 de área total, 98.00 de área privativa, 500.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409862615
 1444412686166 ;RJ ;ARARUAMA ;PARQUE MATARUNA ;RUA  CALOS EVELLES CASTANHO, N. 73, 1DIST QD03 LT20A ;170.116,50;285.000,00;40.31;Casa, 0.00 de área total, 176.60 de área privativa, 256.00 de área do terreno,  3 qto(s), WC, 1 sala(s), DCE, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444412686166
 1444400713503 ;RJ ;ARARUAMA ;COQUEIRAL ;AVENIDA AVENIDA DOM PLACIDO, N. 100, LOTE N° 972, QUADRA N° 04 ;156.543,98;260.906,64;40.01;Casa, 0.00 de área total, 81.92 de área privativa, 504.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444400713503
